SELECT * WHERE 
{ 
	 <http://dbpedia.org/resource/James_Watt> ?x ?y
<http://dbpedia.org/ontology/abstract>	"James Watt, FRS, FRSE (30 January 1736 (19 January 1735 O.S.)–25 August 1819) was a Scottish inventor and mechanical engineer whose improvements to the Newcomen steam engine were fundamental to the changes brought by the Industrial Revolution in both his native Great Britain and the rest of the world.While working as an instrument maker at the University of Glasgow, Watt became interested in the technology of steam engines. He realised that contemporary engine designs wasted a great deal of energy by repeatedly cooling and re-heating the cylinder. Watt introduced a design enhancement, the separate condenser, which avoided this waste of energy and radically improved the power, efficiency, and cost-effectiveness of steam engines. Eventually he adapted his engine to produce rotary motion, greatly broadening its use beyond pumping water.Watt attempted to commercialise his invention, but experienced great financial difficulties until he entered a partnership with Matthew Boulton in 1775. The new firm of Boulton and Watt was eventually highly successful and Watt became a wealthy man. In his retirement, Watt continued to develop new inventions though none were as significant as his steam engine work. He died in 1819 at the age of 83. He developed the concept of horsepower and the SI unit of power, the watt, was named after him."@en
<http://dbpedia.org/ontology/abstract>	"James Watt (né le 19 janvier 1736 à Greenock en Écosse - mort le 25 août 1819 à Heathfield près de Birmingham en Angleterre) est un ingénieur écossais dont les améliorations sur la machine à vapeur furent une étape clé dans la révolution industrielle. Il a animé la Lunar Society de Birmingham."@fr
<http://dbpedia.org/ontology/abstract>	"James Watt (Greenock, 19 gennaio 1736 – Handsworth, 19 agosto 1819) è stato un matematico e ingegnere britannico."@it
<http://dbpedia.org/ontology/abstract>	"James Watt (Greenock (Schotland), 19 januari 1736 – Heathfield Hall bij Birmingham, 25 augustus 1819) was een Schotse ingenieur die wordt beschouwd als de uitvinder van de moderne stoommachine. Maar ook is hij de uitvinder van het eerste kopieerapparaat, waar hij in 1781 patent op kreeg."@nl
<http://dbpedia.org/ontology/wikiPageOutDegree>	"230"^^<http://www.w3.org/2001/XMLSchema#integer>
<http://dbpedia.org/ontology/wikiPageID>	"16142"^^<http://www.w3.org/2001/XMLSchema#integer>
<http://dbpedia.org/ontology/wikiPageLength>	"48468"^^<http://www.w3.org/2001/XMLSchema#integer>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Latin>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Presbyterianism>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/International_System_of_Units>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Mathematics>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Science>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Urbanization>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Ancient_Greek>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Sulfuric_acid>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Royal_Society>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Hydrochloric_acid>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/London>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Windmill>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Aldous_Huxley>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Chlorine>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Steam>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Scotland>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Industrial_Revolution>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Steam_engine>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Watermill>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Muscle>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Birmingham>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/England>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Science_Museum,_London>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Science_Museum_(London)>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Humphry_Davy>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Salt>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Physicist>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Thermodynamics>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Category:Fellows_of_the_Royal_Society>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Patent>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/General_Conference_on_Weights_and_Measures>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Watt>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/SI>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Migraine>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Engineer>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Attic>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Kingdom_of_Great_Britain>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Steam_locomotive>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Edinburgh>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Category:19th-century_Scottish_people>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Category:Scottish_businesspeople>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Category:Scottish_inventors>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Category:Scottish_Science_Hall_of_Fame>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Acad%C3%A9mie_fran%C3%A7aise>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Category:British_inventors>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Category:Scottish_scientists>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Manchester>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Guild>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Shipbuilding>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Firth_of_Clyde>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Glasgow>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Church_of_Scotland>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Presbyterian>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Old_Style_and_New_Style_dates>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Transport>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Homeschooling>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1788>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1782>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1776>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1764>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1765>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1754>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1800>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1736>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1712>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1819>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1768>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1775>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1752>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Patents>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Magistrate>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Energy>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Adam_Smith>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Locomotive>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Boiler>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Westminster_Abbey>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/August_25>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Wind_power>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Hero_of_Alexandria>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1769>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Artisan>
