<http://dbpedia.org/resource/Napoleon> ?x	?y
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.napoleon-empire.net>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.napoleon.org/fr/home.asp>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.napoleonprisonnier.com>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.lautresaintehelene.com/autre-sainte-helene-chronologie.html>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.bmlisieux.com/archives/bonapart.htm>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://gallica.bnf.fr/ark:/12148/bpt6k202800d>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://notices.bnf.fr/AfficherNoticeServlet?idNotice=35976650>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://classiques.uqac.ca/classiques/bainville_jacques/napoleon/napoleon.html>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www2.comune.roma.it/museonapoleonico/it/famiglia.htm>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://dalpontelorenzo.blogspot.it/2013/02/Napoleone-in-Trentino.html>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://dalpontelorenzo.blogspot.it>
<http://dbpedia.org/ontology/wikiPageExternalLink>	<http://www.liceomendrisio.ch/lime/scuola/napoleone/napoleone.html>
<http://dbpedia.org/property/hasPhotoCollection>	<http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Napoleon>
<http://www.w3.org/2002/07/owl#sameAs>	<http://rdf.freebase.com/ns/m.0j5b8>
<http://www.w3.org/2002/07/owl#sameAs>	<http://wikidata.org/entity/Q517>
<http://www.w3.org/2002/07/owl#sameAs>	<http://wikidata.dbpedia.org/resource/Q517>
<http://www.w3.org/2002/07/owl#sameAs>	<http://cs.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://de.dbpedia.org/resource/Napoleon_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://el.dbpedia.org/resource/Ναπολέων_Α΄_της_Γαλλίας>
<http://www.w3.org/2002/07/owl#sameAs>	<http://es.dbpedia.org/resource/Napoleón_Bonaparte>
<http://www.w3.org/2002/07/owl#sameAs>	<http://eu.dbpedia.org/resource/Napoleon_Bonaparte>
