SELECT ?x ?y WHERE 
{ 
	 ?x ?y <http://dbpedia.org/resource/Napoleon>.
<http://dbpedia.org/resource/Henry_IV_of_France>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/French_franc>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/List_of_Co-Princes_of_Andorra>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/First_French_Empire>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Constitutional_monarchy>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Liberal_democracy>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Member_states_of_the_International_Organization_of_the_Francophonie>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Brave_New_World>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Berlin>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/World_War_I>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Roman_Kingdom>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Sicily>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Gray_wolf>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Hairstyle>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Etruria>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Apollo_Belvedere>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Borghese_Vase>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Laurel_wreath>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Apollo_Sauroctonos>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Rose>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Honey_bee>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Chile>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Iceland>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Sugar>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Vigo>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/A_Coru%C3%B1a>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Arsenic>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/British_Empire>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Europe>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/European_Union>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Industrial_Revolution>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Mesopotamia>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Nile>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Corn_Laws>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Wheelbarrow>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Dromedary>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/History_of_the_world>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/New_Kingdom_of_Egypt>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Smallholding>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Halakha>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Russia>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/South_Dakota>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Separation_of_powers>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/New_Spain>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Enclave_and_exclave>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Canada>	<http://dbpedia.org/ontology/wikiPageWikiLink>
<http://dbpedia.org/resource/Crime>	<http://dbpedia.org/ontology/wikiPageWikiLink>
