SELECT * WHERE 
{ 
	<http://dbpedia.org/resource/University_of_Glasgow> ?x ?y.
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Meander>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/United_Kingdom>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/University_of_Edinburgh>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/William_Thomson,_1st_Baron_Kelvin>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Category:Science_and_technology_in_Scotland>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Gothic_architecture>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Art_Nouveau>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Gothic_Revival_architecture>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Scottish_Episcopal_Church>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Scottish_Enlightenment>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/William_Ramsay>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Victorian_era>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Glasgow>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Scottish_Reformation>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/University_of_Cambridge>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Walter_Scott>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Christmas_Eve>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1871>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/1870>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Prime_Minister_of_the_United_Kingdom>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Bell_tower>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Cathedral>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Industrial_revolution>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Baptism>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Papal_bull>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Adam_Smith>
<http://dbpedia.org/ontology/wikiPageWikiLink>	<http://dbpedia.org/resource/Chapter_(religion)>
